week,Date,doWeek,time,Temp
1,5/6/2020,W,p,97.3
1,5/7/2020,R,a,96.9
1,5/9/2020,Sa,p,96.8
1,5/10/2020,Su,a,97.1
1,5/10/2020,Su,p,97.4
2,5/11/2020,M,a,97.1
2,5/11/2020,M,p,97.3
2,5/12/2020,T,a,97.1
2,5/12/2020,T,p,98
2,5/13/2020,W,a,97.3
2,5/13/2020,W,p,97.3
2,5/14/2020,R,a,97.3
2,5/14/2020,R,p,96.9
2,5/15/2020,F,a,97.5
2,5/15/2020,F,p,97.5
3,5/18/2020,M,a,96.9
3,5/18/2020,M,p,98.2
3,5/19/2020,T,a,97.1
3,5/19/2020,T,p,97.8
3,5/20/2020,W,a,97.1
3,5/21/2020,R,a,96.8
3,5/21/2020,R,p,97.5
3,5/22/2020,F,a,97.1
3,5/22/2020,F,p,97.5
4,5/26/2020,T,a,96.9
4,5/26/2020,T,p,97.5
4,5/27/2020,W,a,96.9
4,5/27/2020,W,p,98.2
4,5/28/2020,R,a,96.9
4,5/28/2020,R,p,97.3
4,5/29/2020,F,a,97.1
4,5/29/2020,F,p,97.3
5,6/1/2020,M,a,96.9
5,6/1/2020,M,p,97.5
5,6/2/2020,T,a,96.9
5,6/2/2020,T,p,97.3
5,6/3/2020,W,a,96.9
5,6/3/2020,W,p,97.3
5,6/4/2020,R,p,97.5
5,6/5/2020,F,a,96.9
6,6/8/2020,M,a,97.1
6,6/8/2020,M,p,98
6,6/9/2020,T,a,97.1
6,6/9/2020,T,p,97.3
6,6/10/2020,W,a,97.14
6,6/11/2020,R,a,96.9
6,6/11/2020,R,p,97.3
6,6/12/2020,F,a,96.9
6,6/12/2020,F,p,97.1
7,6/15/2020,M,a,96.9
7,6/15/2020,M,p,97.3
7,6/16/2020,T,a,96.6
7,6/16/2020,T,p,97.8
7,6/17/2020,W,a,96.9
7,6/17/2020,W,p,97.5
7,6/18/2020,R,a,96.8
7,6/18/2020,R,p,97.3
7,6/19/2020,F,a,96.9
7,6/19/2020,F,p,97.1
8,6/22/2020,M,a,96.8
8,6/22/2020,M,p,97.5
8,6/23/2020,T,a,96.6
8,6/23/2020,T,p,97.3
8,6/24/2020,W,a,97.1
8,6/24/2020,W,p,97.3
8,6/25/2020,R,a,96.9
8,6/25/2020,R,p,97.5
8,6/26/2020,F,a,96.8
8,6/26/2020,F,p,97.5
9,6/30/2020,T,a,96.8
9,6/30/2020,T,p,97.5
9,7/1/2020,W,a,96.9
9,7/1/2020,W,p,97.3
9,7/2/2020,R,a,96.9
9,7/2/2020,R,p,97.5
10,7/6/2020,M,a,96.9
10,7/6/2020,M,p,97.3
10,7/7/2020,T,a,97.1
10,7/7/2020,T,p,97.5
10,7/8/2020,W,a,96.9
10,7/8/2020,W,p,97.3
11,7/15/2020,W,a,97.1
11,7/15/2020,W,p,96.9
11,7/16/2020,R,a,97.1
11,7/16/2020,R,p,97.1
11,7/17/2020,F,a,97.1
11,7/17/2020,F,p,97.7
12,7/20/2020,M,a,97.5
12,7/20/2020,M,p,97.7
12,7/21/2020,T,a,97.3
12,7/21/2020,T,p,97.1
12,7/22/2020,W,a,96.9
12,7/23/2020,R,a,97.1
12,7/24/2020,F,a,96.8
12,7/24/2020,F,p,97.8
12,7/27/2020,M,a,97.3
12,7/28/2020,T,a,96.8
12,7/29/2020,W,p,97.1
12,7/30/2020,R,a,96.9
13,8/4/2020,T,a,96.9
13,8/4/2020,T,p,97.1
13,8/5/2020,W,p,97.3
13,8/6/2020,R,a,97.3
13,8/6/2020,R,p,97.7
13,8/7/2020,F,a,97.3
14,8/10/2020,M,a,97.3
14,8/11/2020,T,a,97.1
14,8/11/2020,T,p,97.8
15,8/17/2020,M,p,97.3
15,8/18/2020,T,a,97.5
15,8/19/2020,W,a,96.9
15,8/20/2020,R,a,96.6
15,8/20/2020,R,p,97.8
15,8/21/2020,F,p,97.5
16,8/24/2020,M,a,96.8
16,8/24/2020,M,p,97.1
16,8/25/2020,T,a,97.1
16,8/25/2020,T,p,97.5
16,8/26/2020,W,a,96.9
16,8/26/2020,W,p,97.1
16,8/27/2020,R,a,96.6
16,8/27/2020,R,p,97.7
17,9/2/2020,W,p,97.5
17,9/3/2020,R,a,97.3
17,9/3/2020,R,p,97.1
17,9/4/2020,F,a,97.1
17,9/4/2/2020,F,p,97.5
18,9/8/2020,T,a,96.8
18,9/8/2020,T,p,97.1
18,9/9/2020,W,a,97.1
18,9/9/2020,W,p,97.5
18,9/10/2020,R,a,96.6
18,9/10/2020,R,p,97.3
18,9/11/2020,F,a,96.9
19,9/14/2020,M,a,96.9
19,9/14/2020,M,p,97.1
19,9/15/2020,T,a,96.9
19,9/15/2020,T,p,97.3
19,9/16/2020,W,a,96.9
19,9/16/2020,W,p,97.8
